Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,159.763,-94.869,0.0,top
C2,0.1uF,C_0603_1608Metric,147.317,-92.075,90.0,top
C3,0.33uF,C_0603_1608Metric,116.586,-97.917,0.0,top
C4,1uF,C_0603_1608Metric,119.253,-89.408,0.0,top
C5,1uF,C_0603_1608Metric,122.174,-88.138,-90.0,top
J1,Conn_DEBUG,PinHeader_1x04_P2.54mm_Vertical,138.674,-89.535,90.0,bottom
J2,Conn_I2C,PinHeader_1x04_P2.54mm_Vertical,147.183,-97.282,90.0,bottom
JP1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,163.192,-90.678,90.0,top
P1,K776180WR-2,CONN-TH_35P-P4.00_K776180WR-2,139.667,-129.095,0.0,top
Q1,BC817,SOT-23,161.351,-111.4775,-90.0,top
Q10,IRLML6402,SOT-23,146.7635,-120.206,0.0,top
Q11,BC817,SOT-23,141.097,-111.4775,-90.0,top
Q12,IRLML6402,SOT-23,142.6995,-120.206,0.0,top
Q13,BC817,SOT-23,137.033,-111.4775,-90.0,top
Q14,IRLML6402,SOT-23,138.6355,-120.206,0.0,top
Q15,BC817,SOT-23,132.969,-111.4775,-90.0,top
Q16,IRLML6402,SOT-23,134.5715,-120.206,0.0,top
Q17,BC817,SOT-23,128.905,-111.4775,-90.0,top
Q18,IRLML6402,SOT-23,130.5075,-120.206,0.0,top
Q19,BC817,SOT-23,124.714,-111.4775,-90.0,top
Q2,IRLML6402,SOT-23,162.9895,-120.206,0.0,top
Q20,IRLML6402,SOT-23,126.4435,-120.206,0.0,top
Q21,BC817,SOT-23,120.777,-111.4775,-90.0,top
Q22,IRLML6402,SOT-23,122.3795,-120.206,0.0,top
Q23,BC817,SOT-23,116.84,-111.4775,-90.0,top
Q24,IRLML6402,SOT-23,118.3155,-120.206,0.0,top
Q3,BC817,SOT-23,157.353,-111.4775,-90.0,top
Q4,IRLML6402,SOT-23,158.9555,-120.206,0.0,top
