Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0603,3,0.1uF,
C3,CAP-SMD_BD6.3-L6.6-W6.6-FD,1,RVT2A2R2M0605_C335981,C335981
D1,SOD-80C_L3.3-W1.5-RD,1,"BZV55-B12,115",C426807
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_Dbg_Header,
J2,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07,
J3,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08,
"JP1, JP3",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,Jumper_2_Open,
JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,VCC_as_Pin_8,
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q3, Q5, Q7, Q9",SOT-23,11,BC817,
"Q2, Q4, Q6, Q8",SOT-23,4,IRLML6402,
"R1, R18, R19, R20",0603,4,100R,
"R13, R16, R50, R52, R54, R56, R58",0603,7,6k8,
"R14, R15, R49, R51, R53, R55, R57",0603,7,33k,
"R29, R30, R31, R32",0603,4,10k,
R63,0603,1,120R,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,
"U2, U3",PinSocket_1x22_P2.54mm_Vertical,2,~,
U5,PPAK-5_L6.5-W6.1-P1.27-LS10.0-TL,1,LF50CPT-TR,C2970955
U6,CONN-TH_35P-P4.00_K776180WR-2,1,K776180WR-1,C2997462
