Designator,Mid X,Mid Y,Rotation,Layer
C1,154.165,-95.504,180.0,top
C2,147.317,-91.94,90.0,top
C3,123.441,-90.424,0.0,top
C4,110.998,-91.186,90.0,top
D1,114.046,-95.123,180.0,top
J1,163.576,-97.785,0.0,top
J2,137.688,-111.481,90.0,top
J3,151.399,-82.779,90.0,top
Q1,161.351,-111.4775,90.0,top
Q10,137.668,-120.4745,90.0,top
Q11,145.542,-120.4745,90.0,top
Q12,129.54,-120.4745,90.0,top
Q13,125.542,-120.3175,90.0,top
Q14,121.666,-120.2205,90.0,top
Q15,133.604,-120.4745,90.0,top
Q2,162.9895,-120.206,270.0,top
Q3,157.353,-111.4775,90.0,top
Q4,158.9555,-120.206,270.0,top
Q5,153.289,-111.493,90.0,top
Q6,154.8915,-120.206,270.0,top
Q7,149.225,-111.521,90.0,top
Q8,150.8275,-120.206,270.0,top
Q9,141.478,-120.4745,90.0,top
R1,162.179,-107.9215,270.0,top
R13,136.779,-82.423,270.0,top
R14,136.779,-75.565,270.0,top
R15,139.319,-75.565,270.0,top
R16,139.319,-82.423,270.0,top
R18,158.242,-107.9215,270.0,top
R19,154.178,-107.9215,270.0,top
R20,150.114,-107.9215,270.0,top
R29,162.502,-115.04,0.0,top
R30,158.677,-115.04,0.0,top
R31,154.677,-115.04,0.0,top
R32,150.177,-115.04,0.0,top
R49,121.539,-75.565,270.0,top
R50,121.539,-82.486,270.0,top
R51,124.079,-75.565,270.0,top
R52,124.079,-82.55,270.0,top
R53,126.619,-75.565,270.0,top
R54,126.619,-82.55,270.0,top
R55,129.159,-75.565,270.0,top
R56,129.159,-82.423,270.0,top
R57,131.699,-75.565,270.0,top
R58,131.699,-82.423,270.0,top
R63,160.906,-91.313,270.0,top
U1,152.843,-91.948,270.0,top
U2,140.589,-78.994,90.0,top
U3,140.589,-104.392,90.0,top
U5,115.062,-88.773,90.0,top
U6,139.602,-129.14,0.0,top
